Titel:,,,,,,,,,,,,
Gebruikersnaam:,,,,,,,,,,,,
Periode aangevraagd:,01-01-1800,tot:,28/11/2020,,,,,,,,,
Gegevens beschikbaar:,28/06/1971,tot:,14/12/1999,,,,,,,,,
Datum: ,28/11/2020,,,,,,,,,,,
Referentie:,NAP,,,,,,,,,,,
,,,,,,,,,,,,
NAP:,Normaal Amsterdams Peil,,,,,,,,,,,
MV:,Maaiveld,,,,,,,,,,,
MP:,Meetpunt,,,,,,,,,,,
,,,,,,,,,,,,
Locatie,Filternummer,Externe aanduiding,X-coordinaat,Y-coordinaat,Maaiveld (cm t.o.v. NAP),Datum maaiveld gemeten,Startdatum,Einddatum,Meetpunt (cm t.o.v. NAP),Meetpunt (cm t.o.v. MV),Bovenkant filter (cm t.o.v. NAP),Onderkant filter (cm t.o.v. NAP)
B14B0131,1,14BP0004,112094,544172,24,28/06/1971,28/06/1971,28/10/1974,22,-2,-75,-175
B14B0131,1,14BP0004,112094,544172,24,28/06/1971,28/10/1974,28/12/1999,24,0,-75,-175
,,,,,,,,,,,,
,,,,,,,,,,,,
Locatie,Filternummer,Peildatum,Stand (cm t.o.v. MP),Stand (cm t.o.v. MV),Stand (cm t.o.v. NAP),Bijzonderheid,Opmerking,,,,,
B14B0131,1,28/06/1971,77,79,-55,,,,,,,
B14B0131,1,14/07/1971,33,35,-11,,,,,,,
B14B0131,1,28/07/1971,65,67,-43,,,,,,,
B14B0131,1,16/08/1971,97,99,-75,,,,,,,
B14B0131,1,27/08/1971,96,98,-74,,,,,,,
B14B0131,1,14/09/1971,65,67,-43,,,,,,,
B14B0131,1,27/09/1971,97,99,-75,,,,,,,
B14B0131,1,14/10/1971,96,98,-74,,,,,,,
B14B0131,1,28/10/1971,104,106,-82,,,,,,,
B14B0131,1,15/11/1971,117,119,-95,,,,,,,
B14B0131,1,26/11/1971,120,122,-98,,,,,,,
B14B0131,1,14/12/1971,109,111,-87,,,,,,,
B14B0131,1,28/12/1971,104,106,-82,,,,,,,
B14B0131,1,27/01/1972,120,122,-98,,,,,,,
B14B0131,1,14/02/1972,70,72,-48,,,,,,,
B14B0131,1,28/02/1972,110,112,-88,,,,,,,
B14B0131,1,28/03/1972,110,112,-88,,,,,,,
B14B0131,1,14/04/1972,76,78,-54,,,,,,,
B14B0131,1,28/04/1972,75,77,-53,,,,,,,
B14B0131,1,16/05/1972,59,61,-37,,,,,,,
