Titel:,,,,,,,,,,,
Gebruikersnaam:,,,,,,,,,,,
Periode aangevraagd:,01-01-1800,tot:,28-11-2020,,,,,,,,
Gegevens beschikbaar:,29-08-1979,tot:,27-03-2008,,,,,,,,
Datum: ,28-11-2020,,,,,,,,,,
Referentie:,NAP,,,,,,,,,,

NAP:,Normaal Amsterdams Peil,,,,,,,,,,
MV:,Maaiveld,,,,,,,,,,
MP:,Meetpunt,,,,,,,,,,

Locatie,Filternummer,Externe aanduiding,X-coordinaat,Y-coordinaat,Maaiveld (cm t.o.v. NAP),Datum maaiveld gemeten,Startdatum,Einddatum,Meetpunt (cm t.o.v. NAP),Meetpunt (cm t.o.v. MV),Bovenkant filter (cm t.o.v. NAP),Onderkant filter (cm t.o.v. NAP)
B14B0155,001,14BL0005,111511,545268,98,29-08-1979,29-08-1979,27-03-2008,93,-5,-22,-77


Locatie,Filternummer,Peildatum,Stand (cm t.o.v. MP),Stand (cm t.o.v. MV),Stand (cm t.o.v. NAP),Bijzonderheid,Opmerking,,,
B14B0155,001,29-08-1979,51,56,42,,,,,,
B14B0155,001,15-10-1979,35,40,58,,,,,,
B14B0155,001,14-12-1979,,,,O,,,,,
B14B0155,001,28-04-1980,50,55,43,,,,,,
B14B0155,001,27-08-1980,63,68,30,,,,,,
B14B0155,001,14-10-1980,56,61,37,,,,,,
B14B0155,001,15-12-1980,2,7,91,,,,,,
B14B0155,001,28-04-1981,56,61,37,,,,,,
B14B0155,001,28-08-1981,82,87,11,,,,,,
B14B0155,001,14-10-1981,11,16,82,,,,,,
B14B0155,001,14-12-1981,14,19,79,,,,,,
B14B0155,001,28-04-1982,54,59,39,,,,,,
B14B0155,001,31-08-1982,50,55,43,,,,,,
B14B0155,001,14-10-1982,0,5,93,,,,,,
B14B0155,001,14-12-1982,14,19,79,,,,,,
B14B0155,001,28-04-1983,7,12,86,,,,,,
B14B0155,001,28-08-1983,100,105,-7,,,,,,
B14B0155,001,14-10-1983,21,26,72,,,,,,
B14B0155,001,14-12-1983,22,27,71,,,,,,
B14B0155,001,27-04-1984,53,58,40,,,,,,
B14B0155,001,28-08-1984,89,94,4,,,,,,
B14B0155,001,16-10-1984,50,55,43,,,,,,
B14B0155,001,14-12-1984,32,37,61,,,,,,
B14B0155,001,26-04-1985,48,53,45,,,,,,
B14B0155,001,28-08-1985,35,40,58,,,,,,
B14B0155,001,16-12-1985,13,18,80,,,,,,
B14B0155,001,28-04-1986,24,29,69,,,,,,
B14B0155,001,28-08-1986,77,82,16,,,,,,
B14B0155,001,15-10-1986,88,93,5,,,,,,
B14B0155,001,15-12-1986,29,34,64,,,,,,
B14B0155,001,28-04-1987,54,59,39,,,,,,
B14B0155,001,28-08-1987,25,30,68,,,,,,
B14B0155,001,14-10-1987,0,5,93,,,,,,
B14B0155,001,14-12-1987,26,31,67,,,,,,
B14B0155,001,29-04-1988,30,35,63,,,,,,
B14B0155,001,29-08-1988,60,65,33,,,,,,
B14B0155,001,14-10-1988,20,25,73,,,,,,
B14B0155,001,16-12-1988,31,36,62,,,,,,
B14B0155,001,28-04-1989,19,24,74,,,,,,
B14B0155,001,28-08-1989,93,98,0,,,,,,
B14B0155,001,13-10-1989,95,100,-2,,,,,,
B14B0155,001,14-12-1989,37,42,56,,,,,,
B14B0155,001,26-04-1990,53,58,40,,,,,,
B14B0155,001,28-08-1990,111,116,-18,,,,,,
B14B0155,001,15-10-1990,69,74,24,,,,,,
B14B0155,001,14-12-1990,38,43,55,,,,,,
B14B0155,001,26-04-1991,57,62,36,,,,,,
B14B0155,001,28-08-1991,110,115,-17,,,,,,
B14B0155,001,14-10-1991,57,62,36,,,,,,
B14B0155,001,16-12-1991,48,53,45,,,,,,
B14B0155,001,28-04-1992,40,45,53,,,,,,
B14B0155,001,28-08-1992,105,110,-12,,,,,,
B14B0155,001,14-10-1992,88,93,5,,,,,,
B14B0155,001,14-12-1992,16,21,77,,,,,,
B14B0155,001,28-04-1993,61,66,32,,,,,,
B14B0155,001,27-08-1993,60,65,33,,,,,,
B14B0155,001,14-10-1993,21,26,72,,,,,,
B14B0155,001,14-12-1993,9,14,84,,,,,,
B14B0155,001,14-01-1994,19,24,74,,,,,,
B14B0155,001,28-01-1994,10,15,83,,,,,,
B14B0155,001,14-02-1994,46,51,47,,,,,,
B14B0155,001,28-02-1994,10,15,83,,,,,,
B14B0155,001,14-03-1994,27,32,66,,,,,,
B14B0155,001,28-03-1994,24,29,69,,,,,,
B14B0155,001,15-04-1994,10,15,83,,,,,,
B14B0155,001,28-04-1994,48,53,45,,,,,,
B14B0155,001,16-05-1994,40,45,53,,,,,,
B14B0155,001,30-05-1994,66,71,27,,,,,,
B14B0155,001,14-06-1994,71,76,22,,,,,,
B14B0155,001,28-06-1994,81,86,12,,,,,,
B14B0155,001,14-07-1994,90,95,3,,,,,,
B14B0155,001,28-07-1994,103,108,-10,,,,,,
B14B0155,001,15-08-1994,104,109,-11,,,,,,
B14B0155,001,29-08-1994,111,116,-18,,,,,,
B14B0155,001,14-09-1994,87,92,6,,,,,,
B14B0155,001,28-09-1994,53,58,40,,,,,,
B14B0155,001,14-10-1994,55,60,38,,,,,,
B14B0155,001,28-10-1994,12,17,81,,,,,,
B14B0155,001,14-11-1994,0,5,93,,,,,,
B14B0155,001,28-11-1994,37,42,56,,,,,,
B14B0155,001,14-12-1994,15,20,78,,,,,,
B14B0155,001,28-12-1994,6,11,87,,,,,,
B14B0155,001,12-01-1995,9,14,84,,,,,,
B14B0155,001,27-01-1995,4,9,89,,,,,,
B14B0155,001,14-02-1995,6,11,87,,,,,,
B14B0155,001,28-02-1995,11,16,82,,,,,,
B14B0155,001,16-03-1995,15,20,78,,,,,,
B14B0155,001,28-03-1995,16,21,77,,,,,,
B14B0155,001,13-04-1995,48,53,45,,,,,,
B14B0155,001,28-04-1995,54,59,39,,,,,,
B14B0155,001,10-05-1995,64,69,29,,,,,,
B14B0155,001,16-05-1995,64,69,29,,,,,,
B14B0155,001,29-05-1995,47,52,46,,,,,,
B14B0155,001,14-06-1995,59,64,34,,,,,,
B14B0155,001,28-06-1995,77,82,16,,,,,,
B14B0155,001,14-07-1995,74,79,19,,,,,,
B14B0155,001,27-07-1995,96,101,-3,,,,,,
B14B0155,001,14-08-1995,120,125,-27,,,,,,
B14B0155,001,28-08-1995,128,133,-35,,,,,,
B14B0155,001,15-09-1995,99,104,-6,,,,,,
B14B0155,001,28-09-1995,76,81,17,,,,,,
B14B0155,001,13-10-1995,73,78,20,,,,,,
B14B0155,001,27-10-1995,93,98,0,,,,,,
B14B0155,001,14-11-1995,75,80,18,,,,,,
B14B0155,001,28-11-1995,62,67,31,,,,,,
B14B0155,001,14-12-1995,65,70,28,,,,,,
B14B0155,001,28-12-1995,52,57,41,,,,,,
B14B0155,001,16-01-1996,53,58,40,,,,,,
B14B0155,001,29-01-1996,77,82,16,,,,,,
B14B0155,001,14-02-1996,72,77,21,,,,,,
B14B0155,001,28-02-1996,40,45,53,,,,,,
B14B0155,001,14-03-1996,57,62,36,,,,,,
B14B0155,001,28-03-1996,55,60,38,,,,,,
B14B0155,001,15-04-1996,62,67,31,,,,,,
B14B0155,001,29-04-1996,73,78,20,,,,,,
B14B0155,001,15-05-1996,78,83,15,,,,,,
B14B0155,001,28-05-1996,64,69,29,,,,,,
B14B0155,001,14-06-1996,91,96,2,,,,,,
B14B0155,001,28-06-1996,98,103,-5,,,,,,
B14B0155,001,15-07-1996,105,110,-12,,,,,,
B14B0155,001,29-07-1996,111,116,-18,,,,,,
B14B0155,001,14-08-1996,111,116,-18,,,,,,
B14B0155,001,28-08-1996,115,120,-22,,,,,,
B14B0155,001,13-09-1996,111,116,-18,,,,,,
B14B0155,001,27-09-1996,117,122,-24,,,,,,
B14B0155,001,14-10-1996,91,96,2,,,,,,
B14B0155,001,28-10-1996,76,81,17,,,,,,
B14B0155,001,15-11-1996,40,45,53,,,,,,
B14B0155,001,28-11-1996,28,33,65,,,,,,
B14B0155,001,13-12-1996,26,31,67,,,,,,
